id,university,course,code,route,interview_type,engines,stations,station_length_min,prep_time_min,total_duration_min,delivery,roleplay,numeracy_data,scientific_reasoning,application_questioning,ethics,nhs_current_affairs,group_task,independently_scored,published_criteria,scoring_note,distinctive,changes,confidence,cycle_published,source_type,source_url,date_checked
newcastle-a100,Newcastle University,Medicine and Surgery MB BS,A100,undergraduate,MMI,E1; E2,7,7,not published,not published,in-person (Home); online available for international,yes,not published,not published,no,not explicitly published,not published,no,yes,Integrity (honesty and probity); Communication; Empathy and self-awareness; Motivation and commitment to be a doctor; Compatibility with the MBBS programme; Teamwork (including leadership); Personal organisation; Persistence and resilience,"SJT band weighted as one full MMI station — a genuine post-interview UCAT use, unlike most schools.",One station involves a role-play scenario (2025-entry page). Selectors blinded to the application.,none stated,"HIGH on scoring, UCAT use and domains (2027 policy); MEDIUM on station count and length (2025-entry figure, not restated for 2027)",2027 (policy) / 2025 (station detail),institution,https://www.ncl.ac.uk/mediav8/fms/files/2027%20Admissions%20Policy%20FINAL.pdf,2026-08-29
newcastle-a101,Newcastle University,Medicine and Surgery (Accelerated) MB BS,A101,graduate-entry,panel,E3,not published,not published,not published,not published,hybrid (on campus or remote),not published,not published,not published,no,not published,not published,no,yes,Same eight domains as A100,not published,"Same content, different container — the clearest single case in the dataset that a school can run identical domains through a panel and an MMI. Supports building content domain-first and rendering it into a format at runtime.",not published,MEDIUM,2027,institution,https://www.ncl.ac.uk/undergraduate/degrees/a101/,2026-08-29
sunderland-a100,University of Sunderland,MBChB Medicine,A100,undergraduate,MMI,E1,not published,not published,not published,not published,CONFLICTING — course page says in-person; School of Medicine help page says online MMIs on Microsoft Teams,not published,not published,not published,not published (separate reflective work-experience survey used at shortlisting),not published,not published,not published,not published,,UCAT: top 8 deciles with SJT Bands 1-3.,Uses a separate reflective work-experience survey at shortlisting — the only school in the dataset doing so. Worth a content note for users applying here.,not published,MEDIUM on MMI format and dates; UNCERTAIN on delivery mode,2027,institution,https://www.sunderland.ac.uk/study/medicine/mbchb-medicine/,2026-08-29
pears-cumbria-a102,Pears Cumbria School of Medicine (Imperial / University of Cumbria),Medicine (Graduate Entry) MBBS,A102,graduate-entry,"MMI (blended, including asynchronous components)",E1; E5,not published,not published,not published,not published,hybrid (in-person Carlisle + asynchronous),not published,not published,not published,yes,yes,regional health outcomes,no,not published,Commitment to medicine and understanding the role of a doctor; Potential to contribute to the medical school and the region; Teamwork and leadership; Ethics; Empathy; Resilience and adaptability,GAMSAT or UCAT. Home students only; 2:1 in biosciences or an allied healthcare degree.,"GRADUATE ENTRY ONLY — there is no undergraduate A100. Explicitly assesses regional commitment to Cumbria, which is a genuinely school-specific content requirement. GMC status: under review via Imperial.",Both school pages still display the closed 2026 cycle; 2027 recruitment confirmed via UCAS only.,MEDIUM,2026 (UCAS confirms 2027),institution + UCAS,https://cumbriamed.ac.uk/applying/,2026-08-29
bristol-a100,University of Bristol,MB ChB Medicine,A100,undergraduate,structured interview / MMI-style multi-station,E1,6,5,not published,30,online (Zoom),not published,not published,not published,no,candidates directed to read GMC guidance for medical students,not published,no,yes,Skills and attributes appropriate to a career in medicine; Insight into a range of topics related to a career in medicine,Three assessors per station is the highest assessor density in the dataset. MSC's 2027-entry tool entry reads: 'Applicants move around six MMI stations lasting 5 mins each.',Explicitly bans AI tools during the interview. Thirty minutes total makes this the shortest full circuit found — concision is the dominant demand.,Personal statement no longer used as a weighted selection component (undated).,MEDIUM — structure HIGH but published for 2026 entry; MSC corroborates for 2027,2026 (MSC 2027),institution + MSC,https://www.bristol.ac.uk/study/undergraduate/after-you-apply/interviews/medicine/,2026-08-29
bristol-a108,University of Bristol,MB ChB Gateway to Medicine,A108,undergraduate (widening participation gateway),structured interview,E1,6,5,not published,30,online (Zoom),not published,not published,not published,no,not published,not published,no,yes,,UCAT bursaries available to cover test cost.,"Eligibility by WP criteria — designated schools/colleges, 3+ months care experience, or free school meals.",not published,MEDIUM — inherited from the shared A100/Gateway page,2026,institution,https://www.bristol.ac.uk/study/undergraduate/after-you-apply/interviews/medicine/,2026-08-29
exeter-a100,University of Exeter,BMBS Medicine,A100,undergraduate,MMI,E1,not published,not published,not published,not published,hybrid (undecided — 'may take place either in person or online'),not published,not published,not published,not published,not published,not published,not published,not published,"Non-academic qualities such as communication skills, reflectiveness and empathy",not published,Exeter and Plymouth have clearly diverged since the Peninsula split and are no longer interchangeable for preparation. A legacy Exeter page states 4 stations for 2024 entry — treat as unconfirmed.,not published,MEDIUM on format and delivery; absent on structure,2027,institution,https://www.exeter.ac.uk/study/undergraduate/courses/medicine/medicine/,2026-08-29
plymouth-a100,University of Plymouth (Peninsula Medical School),"BMBS Bachelor of Medicine, Bachelor of Surgery",A100,undergraduate,MMI,E1,5,not published,not published,55,online (Zoom) — 'committed to online interviews for the current admission cycle',not published,not published,no,no,not published,not published,no,implied,Communication skills; Decision making; Impact of illness; Reflection and self-insight; Motivation and commitment; Integrity and inclusivity; Resilience and adaptability; Teamwork,"Explicit red-flag section scored Yes/No for unsuitable behaviour or statements, separate from the numerical scale. This is the only published confirmation that UK schools score red flags as a distinct binary — our scoring model should mirror it.",'Impact of illness' as a named assessed quality is unusual and content-relevant: it points at patient-experience understanding rather than clinical knowledge. Explicitly does not consider personal statements or work experience when selecting for interview.,not published,MEDIUM — station count and duration anchored to the 2024 cycle; online delivery confirmed for the current cycle,2024-2026,institution,https://plymouth.ac.uk/about-us/university-structure/faculties/health-medicine-dentistry-human-sciences/interview-candidate-information,2026-08-29
southampton-bm5,University of Southampton,BMBS Medicine (BM5),A100,undergraduate,selection day — interview plus group task (NOT MMI),E3; E7,2,not published,not published,not published,in-person (explicitly no online alternative),not published,not published,not published,yes,not published,yes,yes,not published,Are self-motivated and resilient; Have reflected on and learnt from life experiences; Can communicate effectively; Are able to interact successfully with others; Can demonstrate an understanding of the values of the NHS Constitution,Offers made on selection-day performance; UCAT is the tiebreak only.,The clearest format outlier among large schools: no station circuit at all. Explicitly draws on application content at interview AND runs a formal group task AND names the NHS Constitution. A candidate preparing for Southampton and for Bristol is preparing for two different exams.,not published,"HIGH on format, delivery and criteria; absent on timings",2026-2027,institution,https://www.southampton.ac.uk/courses/medicine-bm5-degree-bmbs,2026-08-29
southampton-bm6,University of Southampton,BMBS Medicine BM6 Widening Participation (6 years),A102,undergraduate (widening participation),selection day — interview plus group task,E3; E7,2,not published,not published,not published,in-person,not published,not published,not published,yes,not published,yes,yes,not published,As BM5,not published,not published,not published,HIGH on format and delivery,2026-2027,institution,https://www.southampton.ac.uk/courses/medicine-bm6-widening-participation-degree-bmbs,2026-08-29
southampton-bm4,University of Southampton,BMBS Medicine BM4 Graduate Entry (4 years),A101,graduate-entry,selection day — interview plus group task,E3; E7,2,not published,not published,not published,in-person,not published,not published,not published,yes,not published,yes,yes,not published,As BM5,not published,not published,not published,HIGH on format and delivery; MEDIUM on BM4-specific differences,2026-2027,institution,https://www.southampton.ac.uk/courses/medicine-bm4-graduate-entry-degree-bmbs,2026-08-29
bsms-a100,Brighton and Sussex Medical School,BM BS Medicine,A100,undergraduate,MMI,E1,5,10,0,60,"hybrid (applicant chooses in-person or Zoom, tied to the calendar slot)",not published,not published,not published,no,not published,not published,no,yes,"Each element rated Excellent, Good, Satisfactory, Borderline or Poor before a score is issued",Five-band descriptor scale then a numeric score out of 20 per station. Advises candidates to reflect on work experience referring to the skills and values attributes needed to study medicine.,"'BSMS does not use personal statements at any point during the admissions process' — the most categorical statement of its kind in the dataset. Ten-minute discussion stations with no preparation time are a distinct demand: sustained conversation, not a prepared answer.",not published,"HIGH on dates, delivery and PS policy; MEDIUM on station timings (guidance PDF last updated October 2022)",2027 (timings older),institution,https://www.bsms.ac.uk/undergraduate/applying-to-bsms/admissions-process.aspx,2026-08-29
cardiff-a100,Cardiff University,Medicine MBBCh,A100,undergraduate,MMI,E1,not published,not published,not published,not published,hybrid by fee status (in-person Home; online Overseas) for 2027 entry,not published,not published,partial (critical appraisal),CONFLICTING — course page tells applicants to demonstrate healthcare awareness in the personal statement; the 2026 school admissions policy scores applications on achieved qualifications only,yes,yes,no,not published,The course in Cardiff; Ethics; Understanding of a career in medicine; The NHS; Working in teams; Self-directed learning; Motivation; Empathy; Resilience; Communication,"MMIs assess ability to think quickly and adapt to novel scenarios, awareness of professional issues, critical appraisal, communication, and personal qualities.",One of only two schools naming 'the NHS' as a discrete question theme. Welsh-medium and bilingual interviews are available — a genuine localisation requirement if we build a Cardiff mode. Welsh-domiciled applicants receive additional consideration in the pre-interview scoring.,not published,HIGH on delivery and content themes; UNCERTAIN on personal statement; absent on structure,2027 (delivery) / 2026 (policy),institution,https://www.cardiff.ac.uk/study/undergraduate/courses/2026/medicine-mbbch,2026-08-29
cardiff-a101,Cardiff University,Medicine: Graduate Entry MBBCh,A101,graduate-entry (feeder streams only),MMI,E1,not published,not published,not published,not published,not published for A101 specifically,not published,not published,partial,CONFLICTING,yes,yes,no,not published,As A100,not published,"Cardiff's graduate entry is A101, NOT A104. A104 was Cardiff's historical 'Medicine with a Preliminary Year' code and is not in the current offering — correct this if it appears in our data.",not published,MEDIUM on format; UNCERTAIN on personal statement,2026,institution,https://www.cardiff.ac.uk/study/undergraduate/courses/course/medicine-graduate-entry-mbbch,2026-08-29
swansea-a101,Swansea University,Medicine (Graduate Entry) MB BCh,A101,graduate-entry,MMI-style assessment day with long stations,E1; E2,3,25,not published,75,in-person,yes,not published,not published (GAMSAT Paper 3 covers science pre-interview),yes,yes,not published,no,not published,Communication; Coping with Pressure; Problem Solving; Insight and Integrity; Passion for Medicine; Organisation and Research; Ethics and Values,not published,"The longest stations in the UK by a wide margin — 20-30 minutes. Also the only school openly confirming presentations, roleplay AND application-based questioning in the same circuit. Swansea has no undergraduate-entry medicine.",not published,MEDIUM — structure on Swansea's own pages but not dated to a specific cycle,unlabelled,institution,https://www.swansea.ac.uk/undergraduate/courses/medicine/medicine-graduate-entry-mbbch/,2026-08-29
bangor-a100,Bangor University (North Wales Medical School),Medicine BMBS,A100,undergraduate,MMI,E1,6,10,not published,60,in-person (Bangor campus only),not published,not published,partial (clinical reasoning listed on the FAQ page),not published,not published,not published,no,yes,Communication; Values; Clinical reasoning; Suitability for medicine,not published,"GMC status: progressing through approval to award a Primary Medical Qualification; accreditation completes only when the first cohort graduates, with Cardiff University as contingency awarding partner. Flag this to applicants. Two questions per station changes pacing — candidates must leave room for the second.",A100 full for September 2026 entry; 2027 applications opened 1 September 2026.,MEDIUM — format HIGH from Bangor's own pages; station count from an FAQ page with no cycle stamp,unlabelled,institution,https://www.bangor.ac.uk/nwms/faqs-studying-medicine-and-pharmacy,2026-08-29
bangor-a101,Bangor University (North Wales Medical School),Medicine BMBS Graduate Entry,A101,graduate-entry,MMI plus written entrance examination,E1; E9,6,10,not published,150,in-person (Bangor),not published,not published,yes,not published,not published,not published,no,yes,As A100,Exam pass mark standard-set with faculty and a psychometrician.,The only UK medical school in this dataset running a biomedical-science written examination at the interview stage. This is genuinely out of scope for an interview-practice product and should be explicitly excluded rather than half-served.,Entrance exam page stamped 2026 entry.,MEDIUM,2026,institution,https://www.bangor.ac.uk/medicine-entrance-exam-information,2026-08-29
aberdeen-a100,University of Aberdeen,Medicine MBChB,A100,undergraduate,modified MMI,E1,5,5,0,60,"in-person (Suttie Centre, Foresterhill)",not published,not published,no,no,not a named MBChB station (Professionalism covers it),not published,no,yes,Motivation to study medicine; Core Qualities; Critical thinking & problem solving; Team work; Professionalism; Each station also independently scores communication and interpersonal skills,"Selection weighting: academic attainment/predictions 30%, UCAT 20%, interview 50%. Scoring criteria published verbatim: ability to express ideas freely and coherently; how well existing knowledge is used to formulate answers to unknown areas; ability to follow a reasoned argument and formulate an opinion; degree of preparedness; ability to discuss advantages and disadvantages of a problem; degree of motivation, commitment, reflection and sensitivity.",Two selectors per station and a communication score attached to EVERY station regardless of its domain — the same dual-track model our scoring should adopt. Aberdeen's Gateway2Medicine uses the same five domains.,not published,HIGH on format; MEDIUM on cycle (page still lists December 2025 dates),2026,institution,https://www.abdn.ac.uk/smmsn/undergraduate/medicine/application-process/interview/,2026-08-29
dundee-a100,University of Dundee,Medicine MBChB,A100,undergraduate,group discussion + structured interview (NOT MMI),E3; E7,2,30,not published,100,in-person at Ninewells (UK); online via Blackboard Collaborate for international,not published,not published,not published,not published,not published — 'a specific scenario' is unspecified,not published,yes,different assessor per stage; method not described,Your ability to communicate effectively; Your ability to work within a group setting; Your personal values; Your professionalism,not published,"DIRECTLY CONTRADICTS most commercial guides, which describe Dundee as an MMI school. It is a 30-minute observed group discussion followed by a one-to-one. Any Dundee-specific content we publish that assumes MMI is wrong.",not published,HIGH on format (institution page); page states September 2026 entry,2026,institution,https://www.dundee.ac.uk/undergraduate/medicine/interview,2026-08-29
dundee-a104,University of Dundee,Medicine - Gateway to Medicine MBChB,A104,undergraduate (widening access gateway),not published,,not published,not published,not published,not published,not published,not published,not published,not published,not published,not published,not published,not published,not published,,"No UCAT required. UCAS deadline 1 July, not the 15 October medicine deadline.",Do not build a Dundee Gateway mode. There is nothing published to build it against.,not published,HIGH that Dundee publishes no Gateway interview detail,2026,institution,https://www.dundee.ac.uk/undergraduate/medicine-gateway/entry-requirements,2026-08-29
edinburgh-a100,University of Edinburgh,MBChB Medicine (6-year),A100,undergraduate (graduate/mature applicants use the same route),Assessment Day — multiple short interviews plus a group task,E1; E7,4,12,not published,not published,in-person for Scottish/RUK/RoI (2027 entry); virtual in the 2025-entry document,not published,not published,not published,PS not formally assessed but may guide shortlisting and is 'essential preparation',not published,not published,yes,implied (dedicated marking period per assessor),"Assessments based on the core attributes required of medical doctors, outlined in the Medical Schools Council statement","Scoring: academic 25%, UCAT total 17.5%, UCAT SJT band 7.5% (50% pre-assessment), Assessment Day 50%. SJT Band 4 or below the UCAT cut-off eliminates, except 'Plus Flag' applicants who are exempt from the UCAT threshold.",CORRECTS A WIDELY REPEATED ERROR: the claim that Edinburgh does not interview home applicants is out of date. Edinburgh is also the ONLY school in the entire dataset that has updated its wording to acknowledge the new UCAS three-question personal statement.,In-person requirement for Scottish/RUK/RoI on the 2027-entry page vs virtual delivery in the 2025-entry document; Edinburgh does not label this as a change.,HIGH that interviews happen and on the weightings; MEDIUM/LOW on station counts and lengths (2025-entry assessor PDF),2027 (weightings) / 2025 (structure),institution,https://medicine-vet-medicine.ed.ac.uk/edinburgh-medical-school/medicine/applying/assessment-selection-and-statistics/selection,2026-08-29
glasgow-a100,University of Glasgow,Medicine MBChB,A100,undergraduate,panel / semi-structured — two panels in one 30-minute session (NOT MMI),E3,2,15,not published,30,"online (2027 entry, late November 2026 and March 2027)",not published,no,not published,no,yes,yes,no,not published,"Panel A — motivation to become a doctor, teamwork; Panel B — communication, ethical reasoning","No interview score adjustments are made for any applicants, including widening participation candidates.",GLASGOW IS NOT AN MMI SCHOOL for 2027 entry. Any product content describing a Glasgow station circuit is wrong. The choose-one-of-two-ethical-scenarios mechanic is unique and directly buildable. Interviewers are blinded to everything but the name — application-defence practice is worthless here. Glasgow advises candidates to be aware of current issues and challenges within the NHS.,not stated by Glasgow,HIGH — Glasgow's own page explicitly cites 2027 entry,2027,institution,https://www.gla.ac.uk/schools/medicine/mus/admissions/mbchbinterviews/,2026-08-29
standrews-a100,University of St Andrews,Medicine BSc,A100,undergraduate,MMI,E1; E2,4,6,not published,not published,hybrid by fee status (in-person for Home-funded; online for all others),yes,not published,not published,used in shortlisting only,yes,not published,no,not published,Communication and interpersonal skills; Critical thinking; Reflection; Ability to discuss ethical issues; Understanding of medicine as a career; Appreciation of the realities of a caring profession,Hurdle-based process: 'your application will not be scored nor will weighting be applied'. ~650 interview places. Offers based on interview score and applicant route (Scotland / England / No Preference). UCAT is the tie-breaker.,"Only four stations, so each carries 25% of the interview outcome — the highest per-station stakes in the dataset. At least one guaranteed actor station out of four means roleplay is 25%+ of the assessment here.",not published,HIGH on format; page states 2026 entry,2026,institution,https://www.st-andrews.ac.uk/subjects/medicine/medicine-bsc-a100/selection/,2026-08-29
scotgem-a101,University of St Andrews with University of Dundee,ScotGEM MBChB,A101,graduate-entry,MMI,E1,not published,7,0.5,not published,in-person (Ninewells),not published,not published,not published,yes,not published,not published,no,staggered starting points imply independence,,Shortlisting ranked primarily on GAMSAT. ~160 interview places. Most decisions not made until mid-March 2027.,"Explicitly assesses why the applicant chose ScotGEM specifically — a school-specific motivation requirement, like Sheffield's 'Knowledge of Sheffield' and Pears Cumbria's regional commitment. These three are the only genuine cases where content cannot be shared across schools.",not published,HIGH on station length; station COUNT unpublished on current and archived pages,2027,institution,https://www.st-andrews.ac.uk/subjects/medicine/scotgem-mbchb/selection/,2026-08-29
qub-a100-home,Queen's University Belfast,Medicine MB BCh BAO (Home applicants),A100,undergraduate,MMI,E1; E2,12,5,1,72,in-person (Home fee applicants),yes,no,not published (competencies explicitly non-cognitive),yes,yes,not published,no,yes,Communication Skills; Empathy; Moral Reasoning; Problem-Solving,"Only four competencies across nine assessed stations — so each competency is sampled more than twice. Explicitly states there are no stations requiring interpretation of data or graphs, and no writing at any station.","THE MOST ROLEPLAY-INTENSIVE CIRCUIT IN THE UK: four of nine assessed stations involve role players, i.e. 44% of the assessment. Station 1 is a peer roleplay (a fellow student), not a patient — this is exactly the kind of scenario a pre-medical applicant can legitimately handle and should be a template for our peer-conflict roleplays. Also publishes rest stations, which changes circuit pacing.",not published,HIGH; pages state 2026 entry,2026,institution,https://www.qub.ac.uk/Study/medicine-mmi-candidate-information-home/,2026-08-29
qub-a100-intl,Queen's University Belfast,Medicine MB BCh BAO (International applicants),A100,undergraduate,MMI (online),E1; E2,7,5,1,42,online (Zoom),yes,no,not published,yes,yes,not published,no,yes,Communication Skills; Empathy; Moral Reasoning; Problem-Solving,not published,"Same four competencies, different circuit length — evidence that competency coverage, not station count, is the invariant. Design our content against competencies and parameterise the circuit.",not published,HIGH (QUB's own 2026-entry candidate guidance PDF),2026,institution,https://www.qub.ac.uk/Study/medicine-mmi-candidate-information-international/,2026-08-29
ulster-a101,Ulster University (Magee),Medicine MBBS Graduate Entry,A101,graduate-entry,MMI,E1,8,not published,not published,not published,not published for current cycle; virtual in 2021 entry,not published,not published,not published,no,2021 station only,not published,not published,implied by one-competency-per-station blueprint,Communication Skills; Initiative and Resilience; Insight and Integrity; Empathy; Teamwork; Organisation and Problem Solving; Preparation and Motivation for a Medical Career; Ethical and Moral Reasoning,GAMSAT minimum 50 in each section plus an overall threshold. Average overall GAMSAT of interviewed candidates 59 (2020-2025 data).,"The 2021 finding that communication stations discriminated most strongly is the only published UK evidence of relative station validity we found. It supports weighting communication heavily in our own scoring — but it is one school, one cycle, five years ago.",not published,MEDIUM that the format is MMI; LOW for all structural detail (2021-entry source only),2021 (structure) / 2028 course page (format),institution,https://www.ulster.ac.uk/courses/202728/medicine-45586,2026-08-29
